LTT 3780 c	0.18376679332540916	0.1441393754033892	0.15487291304780557
K2-18 b	0.13388937057622402	0.12462429048188656	0.1307984953962949
GJ 1214 b	0.13864226033491595	0.10877352347177965	0.12153168628411787
TOI-270 c	0.16114303134885188	0.1388556923767602	0.1477733883956397
K2-25 b	0.1130425013803147	0.11039859184214997	0.13015781564486995
TOI-269 b	0.10231472238585039	0.1000493733553557	0.11658153251126722
TOI-1231 b	0.1340707455371582	0.10960474876510734	0.1119651134516037
AU Mic c	0.06789931879836593	0.06652727715197478	0.10739779247444596
GJ 3090 b	0.1402916039826835	0.13878905039956071	0.13992449384904257
Kepler-26 b	0.0651739213575569	0.06402618502797158	0.10620115958555071
Kepler-26 c	0.13798086088394526	0.11207560193037394	0.12333463389182683
TOI-1201 b	0.13991106507993928	0.13628660302303425	0.15093486549638518
TOI-1470 c	0.19345484991969022	0.12854966094197187	0.15207732895909395
TOI-1685 b	0.04973571868711249	0.04902859421079145	0.13604067889875635
L 98-59 d	0.20565243565139021	0.1727678490489408	0.1773746112674788
K2-146 b	0.22127652126136008	0.1842484618979949	0.184680223886345
K2-146 c	0.1959088732538795	0.1802618828652477	0.18017196757215503
TOI-776 b	0.20045235826148167	0.17518303243888989	0.1835460655532919
TOI-270 d	0.16146273793954705	0.15672534074936365	0.17468096432905342
TOI-1470 b	0.20036024368695313	0.17210036098352963	0.17978533588953918
TOI-1801 b	0.1798918671687847	0.17337387481385524	0.18129448818361704
TOI-2136 b	0.1910794272280491	0.1617560672766722	0.1714192733906948
GJ 3053 b	0.11716819880541891	0.11304311407741637	0.11239239992562204
GJ 3053 c	0.033147928200965585	0.03252170370037279	0.06549308738827163
LHS 1478 b	0.06528347133096211	0.06424547192543649	0.07582595051828868
TOI-1634 b	0.041160354974215385	0.04004035936808353	0.09368733072047913
GJ 3473 b	0.03968681343505998	0.03915428382717912	0.08075091294338088
L 98-59 c	0.0891297835040021	0.0880166732820797	0.10524479270697355
GJ 357 b	0.06606912400419204	0.06511957230357765	0.08835727188890488
TOI-1235 b	0.08530406512015194	0.08439467420263842	0.09296631954915195
GJ 1132 b	0.04442484476642023	0.04379671850513007	0.07120331576986899
LTT 3780 b	0.032791500918108514	0.03225929366425379	0.06447679735020967
GJ 486 b	0.034381483622884436	0.033927452720992325	0.06378665106644663
GJ 1252 b	0.03018409379040571	0.02973232079278426	0.06465539715970187
TRAPPIST-1 b	0.0846367719955183	0.08344695664936672	0.1032773759775423
TRAPPIST-1 c	0.09244995032067972	0.09160664745004478	0.10448053266290945
TRAPPIST-1 d	0.08151615816061278	0.08056067504114364	0.11076052826936464
TRAPPIST-1 e	0.09498564090982482	0.09381639102876589	0.11078348073705628
TRAPPIST-1 f	0.10850812884507229	0.10737772419576992	0.11950897780718754
TRAPPIST-1 g	0.1088815612953391	0.107324487972283	0.1242075877029214
TRAPPIST-1 h	0.10250099499927119	0.10181431619667665	0.1305050949264948
CD-60 8051 b	0.01882077875832381	0.018541412952414772	0.03640104335447488
TOI-270 b	0.07085480736298216	0.06992191516058249	0.08142006946997987
GJ 367 b	0.0004170055874132763	0.00041592402563624863	0.004432675577656065
GJ 3929 b	0.030442059134693444	0.030101824297198654	0.048288181329517066
GJ 806 b	0.04585475090833323	0.045062292778752164	0.09262272354273184
HD 260655 b	0.03458688253230575	0.03431881660871367	0.06725159442358492
HD 260655 c	0.12560473984196874	0.12406615757938566	0.14109490210100917
L 98-59 b	0.08760562694973655	0.08069573172710247	0.09569513641887002
LTT 1445 A b	0.023841787204745356	0.02353254244606303	0.032714962884184774
LTT 1445 A c	0.060741082756072505	0.05938910761870466	0.08504582849308825
TOI-1075 b	0.025930366720081317	0.025413439210047024	0.06070083448755647
TOI-1452 b	0.10074948381681044	0.09852865875747104	0.15696904946070117
TOI-1695 b	0.21870010143164098	0.15296185558679998	0.19492627138253749
TOI-244 b	0.16195379533838516	0.15465729600783473	0.16957945785451645
